Player,Position,Team,Opponent,Points
Cam Newton,QB,CAR,TB,31.34
Matthew Stafford,QB,DET,LAC,30.42
Drew Brees,QB,NO,ATL,30.18
Matt Moore,QB,MIA,NE,21.66
Matt Ryan,QB,ATL,NO,21.62
Joe Webb,QB,MIN,WAS,20.76
Michael Vick,QB,PHI,DAL,20.72
Josh Freeman,QB,TB,CAR,19.36
Matt Hasselbeck,QB,TEN,JAX,19.20
Andy Dalton,QB,CIN,ARI,18.96
Mark Sanchez,QB,NYJ,NYG,18.62
Josh McCown,QB,CHI,GB,17.48
John Skelton,QB,ARI,CIN,17.48
Rex Grossman,QB,WAS,MIN,17.36
Kyle Orton,QB,KC,OAK,17.20
Tim Tebow,QB,DEN,BUF,16.80
Joe Flacco,QB,BAL,CLE,15.28
Stephen McGee,QB,DAL,PHI,14.08
Philip Rivers,QB,LAC,DET,13.96
Dan Orlovsky,QB,IND,HOU,12.96
Eli Manning,QB,NYG,NYJ,11.90
Carson Palmer,QB,OAK,KC,11.48
Ryan Fitzpatrick,QB,BUF,DEN,10.04
Tarvaris Jackson,QB,SEA,SF,10.02
Seneca Wallace,QB,CLE,BAL,9.38
Alex Smith,QB,SF,SEA,9.36
Charlie Batch,QB,PIT,LAR,7.32
Blaine Gabbert,QB,JAX,TEN,7.32
Christian Ponder,QB,MIN,WAS,4.72
Kellen Clemens,QB,LAR,PIT,4.64
TJ Yates,QB,HOU,IND,4.18
Chris Redman,QB,ATL,NO,2.44
Chase Daniel,QB,NO,ATL,0.00
Mark Brunell,QB,NYJ,NYG,0.00
Tony Romo,QB,DAL,PHI,0.00
Derek Anderson,QB,CAR,TB,-0.10
Matt Flynn,QB,GB,CHI,-0.20
Wes Welker,WR,NE,MIA,29.50
Julio Jones,WR,ATL,NO,28.80
Victor Cruz,WR,NYG,NYJ,28.40
Reggie Wayne,WR,IND,HOU,27.60
Roddy White,WR,ATL,NO,26.70
Larry Fitzgerald,WR,ARI,CIN,25.50
Calvin Johnson,WR,DET,LAC,23.20
Brandon LaFell,WR,CAR,TB,22.30
Malcom Floyd,WR,LAC,DET,21.50
Percy Harvin,WR,MIN,WAS,21.40
Marques Colston,WR,NO,ATL,21.10
James Jones,WR,GB,CHI,21.00
Dwayne Bowe,WR,KC,OAK,20.00
Jabar Gaffney,WR,WAS,MIN,19.70
Denarius Moore,WR,OAK,KC,19.40
Jeremy Maclin,WR,PHI,DAL,18.20
Donte' Stallworth,WR,WAS,MIN,16.90
DeSean Jackson,WR,PHI,DAL,16.70
Robert Meachem,WR,NO,ATL,16.50
Damian Williams,WR,TEN,JAX,16.30
Nate Burleson,WR,DET,LAC,15.40
Jerome Simpson,WR,CIN,ARI,15.20
Roy Williams,WR,CHI,GB,14.10
Miles Austin,WR,DAL,PHI,14.00
Michael Crabtree,WR,SF,SEA,13.50
Andre Roberts,WR,ARI,CIN,13.50
Steve Johnson,WR,BUF,DEN,13.20
Davone Bess,WR,MIA,NE,12.90
Deion Branch,WR,NE,MIA,12.70
Mike Wallace,WR,PIT,LAR,12.20
Dez Bryant,WR,DAL,PHI,12.20
Demaryius Thomas,WR,DEN,BUF,11.60
Brian Hartline,WR,MIA,NE,11.20
Nate Washington,WR,TEN,JAX,11.10
Jarett Dillard,WR,JAX,TEN,11.10
Darrius Heyward-Bey,WR,OAK,KC,11.00
Pierre Garcon,WR,IND,HOU,11.00
Joshua Cribbs,WR,CLE,BAL,10.80
Doug Baldwin,WR,SEA,SF,9.70
Jeremy Kerley,WR,NYJ,NYG,9.20
Terrance Copper,WR,KC,OAK,9.10
Dane Sanzenbacher,WR,CHI,GB,9.10
Santonio Holmes,WR,NYJ,NYG,8.90
Santana Moss,WR,WAS,MIN,8.60
Sammie Stroughter,WR,TB,CAR,8.20
Steve Breaston,WR,KC,OAK,8.10
Greg Little,WR,CLE,BAL,8.00
Austin Collie,WR,IND,HOU,7.90
Jermaine Gresham,TE,CIN,ARI,16.60
Dustin Keller,TE,NYJ,NYG,15.70
Rob Gronkowski,TE,NE,MIA,14.80
Evan Moore,TE,CLE,BAL,14.50
Jimmy Graham,TE,NO,ATL,14.20
Brent Celek,TE,PHI,DAL,13.20
Kellen Winslow,TE,TB,CAR,11.30
Kellen Davis,TE,CHI,GB,11.10
Jermichael Finley,TE,GB,CHI,11.00
Kyle Rudolph,TE,MIN,WAS,10.30
Daniel Fells,TE,DEN,BUF,10.20
Jeremy Shockey,TE,CAR,TB,9.40
Ed Dickson,TE,BAL,CLE,9.40
Vernon Davis,TE,SF,SEA,9.40
Tony Gonzalez,TE,ATL,NO,9.10
Antonio Gates,TE,LAC,DET,8.00
Joel Dreessen,TE,HOU,IND,7.80
Tony Scheffler,TE,DET,LAC,7.70
Aaron Hernandez,TE,NE,MIA,7.70
Josh Baker,TE,NYJ,NYG,7.50
Jeff King,TE,ARI,CIN,7.20
Charles Clay,TE,MIA,NE,7.10
Dante Rosario,TE,DEN,BUF,6.60
Jason Witten,TE,DAL,PHI,6.40
Martellus Bennett,TE,DAL,PHI,5.80
Colin Cloherty,TE,JAX,TEN,5.30
Todd Heap,TE,ARI,CIN,4.90
Luke Stocker,TE,TB,CAR,4.40
Michael Palmer,TE,ATL,NO,3.90
Randy McMichael,TE,LAC,DET,3.80
Lance Kendricks,TE,LAR,PIT,3.30
Deon Butler,TE,SEA,SF,3.30
Zach Potter,TE,JAX,TEN,3.20
Kevin Brock,TE,BUF,DEN,3.10
Heath Miller,TE,PIT,LAR,2.80
Brody Eldridge,TE,IND,HOU,2.80
Craig Stevens,TE,TEN,JAX,2.70
Leonard Pope,TE,KC,OAK,2.30
Marcedes Lewis,TE,JAX,TEN,2.20
Rob Housler,TE,ARI,CIN,2.10
Jacob Tamme,TE,IND,HOU,2.00
Zach Miller,TE,SEA,SF,1.90
Virgil Green,TE,DEN,BUF,1.90
Clay Harbor,TE,PHI,DAL,1.90
Tom Crabtree,TE,GB,CHI,1.70
Anthony Becht,TE,KC,OAK,1.60
Mike Caussin,TE,BUF,DEN,1.60
Logan Paulsen,TE,WAS,MIN,1.50
Rashard Mendenhall,RB,PIT,LAR,25.10
CJ Spiller,RB,BUF,DEN,24.80
Marshawn Lynch,RB,SEA,SF,24.10
Kahlil Bell,RB,CHI,GB,22.90
Ray Rice,RB,BAL,CLE,22.50
DeAngelo Williams,RB,CAR,TB,22.40
Kevin Smith,RB,DET,LAC,20.10
Evan Royster,RB,WAS,MIN,19.70
Ahmad Bradshaw,RB,NYG,NYJ,19.20
Reggie Bush,RB,MIA,NE,18.90
Steven Jackson,RB,LAR,PIT,17.70
Jonathan Stewart,RB,CAR,TB,16.90
Darren Sproles,RB,NO,ATL,16.90
Frank Gore,RB,SF,SEA,16.60
Peyton Hillis,RB,CLE,BAL,16.20
Dexter McCluster,RB,KC,OAK,15.40
Toby Gerhart,RB,MIN,WAS,13.90
Pierre Thomas,RB,NO,ATL,13.70
Adrian Peterson,RB,MIN,WAS,13.20
LaDainian Tomlinson,RB,NYJ,NYG,12.50
Michael Turner,RB,ATL,NO,11.50
Michael Bush,RB,OAK,KC,11.40
Isaac Redman,RB,PIT,LAR,11.00
Shonn Greene,RB,NYJ,NYG,10.80
Ryan Mathews,RB,LAC,DET,10.40
Kregg Lumpkin,RB,TB,CAR,10.20
Mossis Madu,RB,TB,CAR,10.20
Mike Tolbert,FB,LAC,DET,10.10
Ryan Grant,RB,GB,CHI,9.80
Kendall Hunter,RB,SF,SEA,9.40
Greg Jones,RB,JAX,TEN,9.00
Ricky Williams,RB,BAL,CLE,8.60
Sammy Morris,RB,DAL,PHI,7.90
Joseph Addai,RB,IND,HOU,7.70
Chris Wells,RB,ARI,CIN,7.10
Jamie Harper,RB,TEN,JAX,7.10
John Clay,RB,PIT,LAR,7.00
Donald Brown,RB,IND,HOU,6.80
Jason Snelling,RB,ATL,NO,6.80
Brandon Jacobs,RB,NYG,NYJ,6.50
Stevan Ridley,RB,NE,MIA,6.40
Willis McGahee,RB,DEN,BUF,6.40
Jeremiah Johnson,RB,DEN,BUF,6.20
Jackie Battle,FB,KC,OAK,5.60
Chris Johnson,RB,TEN,JAX,5.60
LeSean McCoy,RB,PHI,DAL,5.50
Cedric Benson,RB,CIN,ARI,5.50
Darrel Young,FB,WAS,MIN,5.30
Rob Bironas,K,TEN,JAX,0.00
David Akers,K,SF,SEA,0.00
Adam Vinatieri,K,IND,HOU,0.00
Matt Bryant,K,ATL,NO,0.00
Olindo Mare,K,CAR,TB,0.00
Mike Nugent,K,CIN,ARI,0.00
Sebastian Janikowski,K,OAK,KC,0.00
Neil Rackers,K,HOU,IND,0.00
Alex Henery,K,PHI,DAL,0.00
Shaun Suisham,K,PIT,LAR,0.00
Ryan Longwell,K,MIN,WAS,0.00
Stephen Gostkowski,K,NE,MIA,0.00
John Kasay,K,NO,ATL,0.00
Lawrence Tynes,K,NYG,NYJ,0.00
Jason Hanson,K,DET,LAC,0.00
Shayne Graham,K,BAL,CLE,0.00
Ryan Succop,K,KC,OAK,0.00
Robbie Gould,K,CHI,GB,0.00
Dan Carpenter,K,MIA,NE,0.00
Thomas Howard,K,CIN,ARI,0.00
Steven Hauschka,K,SEA,SF,0.00
Josh Scobee,K,JAX,TEN,0.00
Mason Crosby,K,GB,CHI,0.00
Nick Novak,K,LAC,DET,0.00
Jay Feely,K,ARI,CIN,0.00
Connor Barth,K,TB,CAR,0.00
Nick Folk,K,NYJ,NYG,0.00
Matt Prater,K,DEN,BUF,0.00
Phil Dawson,K,CLE,BAL,0.00
Dan Bailey,K,DAL,PHI,0.00
DJ Smith,K,GB,CHI,0.00
Josh Brown,K,LAR,PIT,0.00
New York Giants,DST,NYG,NYJ,14.00
Pittsburgh Steelers,DST,PIT,LAR,13.00
Carolina Panthers,DST,CAR,TB,12.00
Cincinnati Bengals,DST,CIN,ARI,12.00
Oakland Raiders,DST,OAK,KC,12.00
Cleveland Browns,DST,CLE,BAL,10.00
New England Patriots,DST,NE,MIA,9.00
New Orleans Saints,DST,NO,ATL,9.00
Indianapolis Colts,DST,IND,HOU,7.00
Jacksonville Jaguars,DST,JAX,TEN,7.00
Philadelphia Eagles,DST,PHI,DAL,7.00
Minnesota Vikings,DST,MIN,WAS,7.00
Houston Texans,DST,HOU,IND,6.00
Arizona Cardinals,DST,ARI,CIN,6.00
San Francisco 49ers,DST,SF,SEA,6.00
Baltimore Ravens,DST,BAL,CLE,5.00
Kansas City Chiefs,DST,KC,OAK,5.00
Seattle Seahawks,DST,SEA,SF,5.00
Miami Dolphins,DST,MIA,NE,4.00
Tennessee Titans,DST,TEN,JAX,4.00
Green Bay Packers,DST,GB,CHI,4.00
New York Jets,DST,NYJ,NYG,4.00
Dallas Cowboys,DST,DAL,PHI,3.00
Los Angeles Chargers,DST,LAC,DET,2.00
Los Angeles Rams,DST,LAR,PIT,2.00
Atlanta Falcons,DST,ATL,NO,1.00
Washington Redskins,DST,WAS,MIN,1.00
Denver Broncos,DST,DEN,BUF,0.00
Tampa Bay Buccaneers,DST,TB,CAR,-3.00
Chicago Bears,DST,CHI,GB,-3.00
