,Player,Position,Team,Opponent,Points,PlayerID
0,Ben Roethlisberger,QB,PIT,NE,31.9,00-0022924
1,Case Keenum,QB,HOU,IND,31.6,00-0028986
2,Andrew Luck,QB,IND,HOU,24.84,00-0029668
3,Jason Campbell,QB,CLE,BAL,24.48,00-0023460
4,Russell Wilson,QB,SEA,TB,24.28,00-0029263
5,Tony Romo,QB,DAL,MIN,24.28,00-0021678
6,Drew Brees,QB,NO,NYJ,24.18,00-0020531
7,Philip Rivers,QB,LAC,WAS,24.04,00-0022942
8,Joe Flacco,QB,BAL,CLE,21.5,00-0026158
9,Josh McCown,QB,CHI,GB,20.88,00-0021206
10,Christian Ponder,QB,MIN,DAL,20.34,00-0027950
11,Cam Newton,QB,CAR,ATL,20.16,00-0027939
12,Mike Glennon,QB,TB,SEA,16.02,00-0030520
13,Ryan Tannehill,QB,MIA,CIN,14.42,00-0029701
14,Andy Dalton,QB,CIN,MIA,13.72,00-0027973
15,Kellen Clemens,QB,LA,TEN,13.0,00-0024264
16,Jeff Tuel,QB,BUF,KC,12.86,00-0030024
17,Geno Smith,QB,NYJ,NO,12.4,00-0030565
18,Jake Locker,QB,TEN,LAR,12.4,00-0027946
19,Robert Griffin III,QB,WAS,LAC,12.34,00-0029532
20,Matt Ryan,QB,ATL,CAR,9.96,00-0026143
21,Alex Smith,QB,KC,BUF,5.66,00-0023436
22,Seneca Wallace,QB,GB,CHI,3.56,00-0022055
23,Matt McGloin,QB,OAK,PHI,3.48,00-0030419
24,Aaron Rodgers,QB,GB,CHI,1.98,00-0023459
25,Matt Barkley,QB,PHI,OAK,0.32,00-0030533
26,Luke McCown,QB,NO,NYJ,0.0,00-0022864
27,Joe Webb,QB,MIN,DAL,0.0,00-0027796
28,Brandon Weeden,QB,CLE,BAL,-0.08,00-0029677
29,TY Hilton,WR,IND,HOU,40.1,00-0029608
30,Jerricho Cotchery,WR,PIT,NE,34.6,00-0022811
31,Aaron Dobson,WR,NE,PIT,33.0,00-0030540
32,Keenan Allen,WR,LAC,WAS,29.8,00-0030279
33,DeSean Jackson,WR,PHI,OAK,29.0,00-0026189
34,Pierre Garcon,WR,WAS,LAC,27.2,00-0026345
35,AJ Green,WR,CIN,MIA,26.8,00-0027942
36,Brandon Marshall,WR,CHI,GB,26.7,00-0024334
37,Danny Amendola,WR,NE,PIT,25.2,00-0026035
38,Marlon Brown,WR,BAL,CLE,24.4,00-0030400
39,Greg Little,WR,CLE,BAL,22.2,00-0027997
40,Doug Baldwin,WR,SEA,TB,19.5,00-0028434
41,Terrelle Pryor,WR,OAK,PHI,18.92,00-0028825
42,Antonio Brown,WR,PIT,NE,18.1,00-0027793
43,Davone Bess,WR,CLE,BAL,17.4,00-0026000
44,Alshon Jeffery,WR,CHI,GB,17.1,00-0029137
45,Emmanuel Sanders,WR,PIT,NE,15.8,00-0027685
46,Eddie Royal,WR,LAC,WAS,15.6,00-0026182
47,Rod Streater,WR,OAK,PHI,14.8,00-0029129
