Rank,Player,Position,Week,Team,Opponent,Targets,Rec,RecPctRecYds,RecTDs,Long,YdsTarget,YdsPerRec,RushAtt,RushYds,RushTD,Fumbles,FumLost,Points,Year
1,Jimmy Graham,TE,9,NO,NYJ,12,9,75,116,2,51,10,13,0,0,0,0,0,35.60,2013
2,Rob Gronkowski,TE,9,NE,PIT,10,9,90,143,1,34,14,16,0,0,0,0,0,32.30,2013
3,Jason Witten,TE,9,DAL,MIN,10,8,80,102,1,26,10,13,0,0,0,0,0,27.20,2013
4,Tony Gonzalez,TE,9,ATL,CAR,7,6,86,81,1,19,12,14,0,0,0,0,0,20.10,2013
5,Greg Olsen,TE,9,CAR,ATL,5,4,80,66,1,23,13,17,0,0,0,0,0,16.60,2013
6,Tim Wright,TE,9,TB,SEA,4,4,100,58,1,27,15,15,0,0,0,0,0,15.80,2013
7,Zach Ertz,TE,9,PHI,OAK,6,5,83,42,1,15,7,8,0,0,0,0,0,15.20,2013
8,Jared Cook,TE,9,LAR,TEN,6,3,50,36,1,17,6,12,0,0,0,0,0,12.60,2013
9,Brent Celek,TE,9,PHI,OAK,4,3,75,27,1,24,7,9,0,0,0,0,0,11.70,2013
10,Kyle Rudolph,TE,9,MIN,DAL,2,2,100,35,1,31,18,18,0,0,0,0,0,11.50,2013
11,Coby Fleener,TE,9,IND,HOU,5,3,60,64,0,44,13,21,0,0,0,0,0,11.40,2013
12,Antonio Gates,TE,9,LAC,WAS,10,6,60,53,0,15,5,9,0,0,0,0,0,11.30,2013
13,Jordan Reed,TE,9,WAS,LAC,5,4,80,37,0,14,7,9,1,18,0,0,0,9.50,2013
14,Garrett Graham,TE,9,HOU,IND,6,4,67,46,0,20,8,12,0,0,0,0,0,8.60,2013
15,Andrew Quarless,TE,9,GB,CHI,7,5,71,34,0,12,5,7,0,0,0,0,0,8.40,2013
16,Heath Miller,TE,9,PIT,NE,5,4,80,43,0,15,9,11,0,0,0,0,0,8.30,2013
17,Zach Miller,TE,9,SEA,TB,5,3,60,49,0,22,10,16,0,0,0,0,0,7.90,2013
18,Mychal Rivera,TE,9,OAK,PHI,5,4,80,36,0,12,7,9,0,0,0,0,0,7.60,2013
19,Martellus Bennett,TE,9,CHI,GB,8,4,50,36,0,27,5,9,0,0,0,0,0,7.60,2013
20,Gary Barnidge,TE,9,CLE,BAL,1,1,100,4,1,4,4,4,0,0,0,0,0,7.40,2013
21,Tom Crabtree,TE,9,TB,SEA,1,1,100,2,1,2,2,2,0,0,0,0,0,7.20,2013
22,Zach Sudfeld,TE,9,NYJ,NO,4,2,50,46,0,25,12,23,0,0,0,0,0,6.60,2013
23,Charles Clay,TE,9,MIA,CIN,3,3,100,22,0,9,7,7,1,13,0,0,0,6.50,2013
24,Jermaine Gresham,TE,9,CIN,MIA,7,3,43,33,0,16,5,11,0,0,0,0,0,6.30,2013
25,John Carlson,TE,9,MIN,DAL,6,4,67,23,0,12,4,6,0,0,0,0,0,6.30,2013
26,Scott Chandler,TE,9,BUF,KC,9,3,33,26,0,10,3,9,0,0,0,0,0,5.60,2013
27,Tyler Eifert,TE,9,CIN,MIA,4,3,75,14,0,5,4,5,0,0,0,0,0,4.40,2013
28,Lance Kendricks,TE,9,LAR,TEN,4,3,75,13,0,11,3,4,0,0,0,0,0,4.30,2013
29,Logan Paulsen,TE,9,WAS,LAC,3,3,100,9,0,7,3,3,0,0,0,0,0,3.90,2013
30,Delanie Walker,TE,9,TEN,LAR,2,2,100,13,0,8,7,7,0,0,0,0,0,3.30,2013
31,James Hanna,TE,9,DAL,MIN,1,1,100,21,0,21,21,21,0,0,0,0,0,3.10,2013
32,Anthony Fasano,TE,9,KC,BUF,1,1,100,20,0,20,20,20,0,0,0,0,0,3.00,2013
33,Michael Hoomanawanui,TE,9,NE,PIT,2,1,50,17,0,17,9,17,0,0,0,0,0,2.70,2013
34,Dallas Clark,TE,9,BAL,CLE,1,1,100,14,0,14,14,14,0,0,0,0,0,2.40,2013
35,Michael Egnew,TE,9,MIA,CIN,1,1,100,13,0,13,13,13,0,0,0,0,0,2.30,2013
36,Ladarius Green,TE,9,LAC,WAS,1,1,100,10,0,10,10,10,0,0,0,0,0,2.00,2013
37,Niles Paul,TE,9,WAS,LAC,2,1,50,6,0,6,3,6,0,0,0,0,0,1.60,2013
38,Jordan Cameron,TE,9,CLE,BAL,5,1,20,4,0,4,1,4,0,0,0,0,0,1.40,2013
39,Ed Dickson,TE,9,BAL,CLE,3,1,33,3,0,3,1,3,0,0,0,0,0,1.30,2013
40,MarQueis Gray,TE,9,CLE,BAL,0,0,0,0,0,0,0,0,1,1,0,0,0,0.10,2013
41,Orson Charles,TE,9,CIN,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2013
42,Alex Smith,TE,9,CIN,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2013
43,Benjamin Watson,TE,9,NO,NYJ,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2013
44,Craig Stevens,TE,9,TEN,LAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2013
45,Levine Toilolo,TE,9,ATL,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2013
