Rank,Player,Position,Week,Team,Opponent,FGMade,FGAtt,FGPct,FGLong,XPMade,XPAtt,Points,Year
1,John Kasay,K,10,NO,ATL,4,5,80,52,2,2,0.00,2011
2,Steven Hauschka,K,10,SEA,BAL,5,5,100,39,1,1,0.00,2011
3,David Akers,K,10,SF,NYG,4,4,100,52,1,1,0.00,2011
4,Dan Bailey,K,10,DAL,BUF,3,3,100,45,5,5,0.00,2011
5,Robbie Gould,K,10,CHI,DET,3,4,75,50,4,4,0.00,2011
6,Stephen Gostkowski,K,10,NE,NYJ,3,3,100,50,4,4,0.00,2011
7,Rob Bironas,K,10,TEN,CAR,3,3,100,49,3,3,0.00,2011
8,Phil Dawson,K,10,CLE,LAR,4,5,80,44,0,0,0.00,2011
9,Matt Bryant,K,10,ATL,NO,3,4,75,36,2,2,0.00,2011
10,Graham Gano,K,10,WAS,MIA,3,5,60,47,0,0,0.00,2011
11,Mason Crosby,K,10,GB,MIN,1,1,100,25,6,6,0.00,2011
12,Dan Carpenter,K,10,MIA,WAS,2,3,67,28,2,2,0.00,2011
13,Lawrence Tynes,K,10,NYG,SF,2,2,100,25,2,2,0.00,2011
14,Jason Hanson,K,10,DET,CHI,2,2,100,35,1,1,0.00,2011
15,Josh Brown,K,10,LAR,CLE,2,2,100,34,1,1,0.00,2011
16,Neil Rackers,K,10,HOU,TB,1,2,50,22,4,4,0.00,2011
17,Sebastian Janikowski,K,10,OAK,LAC,1,1,100,23,3,3,0.00,2011
18,Shaun Suisham,K,10,PIT,CIN,1,1,100,39,3,3,0.00,2011
19,Nick Novak,K,10,LAC,OAK,1,2,50,20,2,2,0.00,2011
20,Mike Nugent,K,10,CIN,PIT,1,1,100,43,2,2,0.00,2011
21,Josh Scobee,K,10,JAX,IND,1,2,50,44,2,2,0.00,2011
22,Matt Prater,K,10,DEN,KC,1,2,50,38,2,2,0.00,2011
23,Alex Henery,K,10,PHI,ARI,1,1,100,36,2,2,0.00,2011
24,Connor Barth,K,10,TB,HOU,1,1,100,55,0,0,0.00,2011
25,Billy Cundiff,K,10,BAL,SEA,1,3,33,35,2,2,0.00,2011
26,Ryan Succop,K,10,KC,DEN,1,1,100,32,1,1,0.00,2011
27,Thomas Howard,K,10,CIN,PIT,0,0,0,0,0,0,0.00,2011
28,Olindo Mare,K,10,CAR,TEN,1,2,50,29,0,0,0.00,2011
29,Adam Vinatieri,K,10,IND,JAX,1,1,100,42,0,0,0.00,2011
30,Jay Feely,K,10,ARI,PHI,0,2,0,0,3,3,0.00,2011
31,Nick Folk,K,10,NYJ,NE,0,1,0,0,2,2,0.00,2011
32,Dave Rayner,K,10,BUF,DAL,0,1,0,0,1,1,0.00,2011
33,Ryan Longwell,K,10,MIN,GB,0,1,0,0,1,1,0.00,2011
34,DJ Smith,K,10,GB,MIN,0,0,0,0,0,0,0.00,2011
