Rank,Player,Position,Week,Team,Opponent,RushAtt,RushYds,RushYdsPerAtt,RushTD,Targets,Rec,RecYds,RecTDs,Fumbles,FumLost,Points,Year
1,Mike Tolbert,FB,1,LAC,MIN,12,35,3,1,9,9,58,2,0,0,36.30,2011
2,Ray Rice,RB,1,BAL,PIT,19,107,6,1,5,4,42,1,0,0,33.90,2011
3,LeSean McCoy,RB,1,PHI,LAR,15,122,8,1,3,2,15,1,0,0,30.70,2011
4,Matt Forte,RB,1,CHI,ATL,16,68,4,0,6,5,90,1,0,0,26.80,2011
5,Reggie Bush,RB,1,MIA,NE,11,38,4,0,10,9,56,1,0,0,24.40,2011
6,Cedric Benson,RB,1,CIN,CLE,25,121,5,1,1,1,2,0,0,0,22.30,2011
7,Darren Sproles,RB,1,NO,GB,2,7,4,0,9,7,75,0,0,0,21.20,2011
8,Chris Wells,RB,1,ARI,CAR,18,90,5,1,4,4,12,0,0,0,20.20,2011
9,Ben Tate,RB,1,HOU,IND,24,116,5,1,0,0,0,0,1,1,19.60,2011
10,Darren McFadden,RB,1,OAK,DEN,22,150,7,0,1,1,6,0,0,0,19.60,2011
11,Cadillac Williams,RB,1,LAR,PHI,19,91,5,0,9,5,49,0,0,0,19.00,2011
12,Michael Turner,RB,1,ATL,CHI,10,100,10,0,4,3,40,0,1,1,19.00,2011
13,Tim Hightower,RB,1,WAS,NYG,25,72,3,1,3,3,25,0,0,0,18.70,2011
14,Jamaal Charles,RB,1,KC,BUF,10,56,6,0,6,5,9,1,1,1,16.50,2011
15,Maurice Jones-Drew,RB,1,JAX,TEN,24,97,4,1,0,0,0,0,0,0,15.70,2011
16,Fred Jackson,RB,1,BUF,KC,20,112,6,0,1,1,5,0,0,0,15.70,2011
17,Jahvid Best,RB,1,DET,TB,21,72,3,0,5,4,42,0,0,0,15.40,2011
18,Earnest Graham,RB,1,TB,DET,6,13,2,0,9,8,58,0,1,0,15.10,2011
19,LaDainian Tomlinson,RB,1,NYJ,DAL,5,16,3,0,7,6,73,0,0,0,14.90,2011
20,Ryan Mathews,RB,1,LAC,MIN,12,45,4,0,5,3,73,0,0,0,14.80,2011
21,Peyton Hillis,RB,1,CLE,CIN,17,57,3,0,8,6,30,0,0,0,14.70,2011
22,Felix Jones,RB,1,DAL,NYJ,17,44,3,1,4,3,22,0,1,1,14.60,2011
23,Ahmad Bradshaw,RB,1,NYG,WAS,13,44,3,1,2,1,10,0,0,0,12.40,2011
24,Adrian Peterson,RB,1,MIN,LAC,16,98,6,0,3,2,6,0,0,0,12.40,2011
25,Marcel Reece,FB,1,OAK,DEN,1,11,11,0,3,3,23,1,0,0,12.40,2011
26,James Starks,RB,1,GB,NO,12,57,5,1,1,0,0,0,0,0,11.70,2011
27,Steven Jackson,RB,1,LAR,PHI,2,56,28,1,0,0,0,0,0,0,11.60,2011
28,Chris Johnson,RB,1,TEN,JAX,9,24,3,0,7,6,25,0,0,0,10.90,2011
29,Frank Gore,RB,1,SF,SEA,22,59,3,0,4,3,19,0,0,0,10.80,2011
30,Pierre Thomas,RB,1,NO,GB,5,31,6,0,5,4,37,0,0,0,10.80,2011
31,Dexter McCluster,RB,1,KC,BUF,4,42,11,0,5,5,25,0,1,1,10.70,2011
32,Deji Karim,RB,1,JAX,TEN,14,33,2,0,3,3,39,0,0,0,10.20,2011
33,Derrick Ward,RB,1,HOU,IND,11,39,4,1,0,0,0,0,0,0,9.90,2011
34,BenJarvus Green-Ellis,RB,1,NE,MIA,7,34,5,1,1,0,0,0,0,0,9.40,2011
35,John Kuhn,FB,1,GB,NO,2,5,3,1,2,2,7,0,0,0,9.20,2011
36,Jason Snelling,RB,1,ATL,CHI,2,10,5,0,7,5,32,0,0,0,9.20,2011
37,CJ Spiller,RB,1,BUF,KC,5,16,3,1,1,1,5,0,0,0,9.10,2011
38,Danny Woodhead,RB,1,NE,MIA,14,69,5,0,1,1,6,0,0,0,8.50,2011
39,Willis McGahee,RB,1,DEN,OAK,4,3,1,0,7,5,32,0,1,0,8.50,2011
40,Lance Ball,RB,1,DEN,OAK,0,0,0,0,1,1,9,1,0,0,7.90,2011
41,Ricky Williams,RB,1,BAL,PIT,12,63,5,0,2,1,4,0,0,0,7.70,2011
42,Joseph Addai,RB,1,IND,HOU,8,39,5,0,4,2,13,0,0,0,7.20,2011
43,Marshawn Lynch,RB,1,SEA,SF,13,33,3,0,2,2,14,0,0,0,6.70,2011
44,Knowshon Moreno,RB,1,DEN,OAK,8,22,3,0,3,2,35,0,1,1,6.70,2011
45,Brian Leonard,RB,1,CIN,CLE,2,15,8,0,2,2,29,0,0,0,6.40,2011
46,Jacquizz Rodgers,RB,1,ATL,CHI,2,0,0,0,5,3,33,0,0,0,6.30,2011
47,Jonathan Stewart,RB,1,CAR,ARI,7,26,4,0,3,2,14,0,0,0,6.00,2011
48,Ryan Grant,RB,1,GB,NO,9,40,4,0,1,1,5,0,0,0,5.50,2011
49,Maurice Morris,RB,1,DET,TB,2,4,2,0,2,2,25,0,1,0,4.90,2011
50,DeAngelo Williams,RB,1,CAR,ARI,12,30,3,0,2,1,6,0,0,0,4.60,2011
