Rank,Player,Position,Week,Team,Opponent,Targets,Rec,RecPctRecYds,RecTDs,Long,YdsTarget,YdsPerRec,RushAtt,RushYds,RushTD,Fumbles,FumLost,Points,Year
1,Aaron Hernandez,TE,1,NE,MIA,10,7,70,103,1,30,10,15,0,0,0,0,0,26.30,2011
2,Scott Chandler,TE,1,BUF,KC,5,5,100,63,2,19,13,13,0,0,0,0,0,23.30,2011
3,Rob Gronkowski,TE,1,NE,MIA,7,6,86,86,1,23,12,14,0,0,0,0,0,20.60,2011
4,Jason Witten,TE,1,DAL,NYJ,9,6,67,110,0,64,12,18,0,0,0,0,0,20.00,2011
5,Fred Davis,TE,1,WAS,NYG,6,5,83,105,0,28,18,21,0,0,0,0,0,18.50,2011
6,Jermaine Gresham,TE,1,CIN,CLE,8,6,75,58,1,22,7,10,0,0,0,0,0,17.80,2011
7,Dustin Keller,TE,1,NYJ,DAL,8,5,63,61,1,19,8,12,0,0,0,0,0,17.10,2011
8,Ed Dickson,TE,1,BAL,PIT,5,5,100,59,1,18,12,12,0,0,0,0,0,16.90,2011
9,Jimmy Graham,TE,1,NO,GB,7,4,57,56,1,21,8,14,0,0,0,0,0,15.60,2011
10,Antonio Gates,TE,1,LAC,MIN,13,8,62,74,0,15,6,9,0,0,0,0,0,15.40,2011
11,Jeff King,TE,1,ARI,CAR,3,2,67,61,1,48,20,31,0,0,0,0,0,14.10,2011
12,Benjamin Watson,TE,1,CLE,CIN,7,3,43,45,1,34,6,15,0,0,0,0,0,13.50,2011
13,Anthony Fasano,TE,1,MIA,NE,6,5,83,82,0,25,14,16,0,0,0,0,0,13.20,2011
14,Kellen Winslow,TE,1,TB,DET,8,6,75,66,0,22,8,11,0,0,0,0,0,12.60,2011
15,Evan Moore,TE,1,CLE,CIN,6,3,50,35,1,17,6,12,0,0,0,0,0,12.50,2011
16,Tony Gonzalez,TE,1,ATL,CHI,7,5,71,72,0,30,10,14,0,0,0,0,0,12.20,2011
17,Greg Olsen,TE,1,CAR,ARI,6,4,67,78,0,43,13,20,0,0,0,0,0,11.80,2011
18,Brandon Pettigrew,TE,1,DET,TB,6,4,67,57,0,25,10,14,0,0,0,0,0,9.70,2011
19,Vernon Davis,TE,1,SF,SEA,6,5,83,47,0,27,8,9,0,0,0,0,0,9.70,2011
20,Matt Spaeth,TE,1,CHI,ATL,2,2,100,7,1,6,4,4,0,0,0,0,0,8.70,2011
21,Tony Scheffler,TE,1,DET,TB,1,1,100,11,1,11,11,11,1,5,0,1,0,8.60,2011
22,Jermichael Finley,TE,1,GB,NO,4,3,75,53,0,20,13,18,0,0,0,0,0,8.30,2011
23,Jeremy Shockey,TE,1,CAR,ARI,3,3,100,51,0,22,17,17,0,0,0,0,0,8.10,2011
24,Jake Ballard,TE,1,NYG,WAS,3,2,67,59,0,41,20,30,0,0,0,0,0,7.90,2011
25,Dallas Clark,TE,1,IND,HOU,5,4,80,39,0,17,8,10,0,0,0,0,0,7.90,2011
26,Heath Miller,TE,1,PIT,BAL,5,3,60,42,0,16,8,14,0,0,0,0,0,7.20,2011
27,Dennis Pitta,TE,1,BAL,PIT,2,2,100,45,0,29,23,23,0,0,0,0,0,6.50,2011
28,Daniel Fells,TE,1,DEN,OAK,6,3,50,32,0,16,5,11,0,0,0,0,0,6.20,2011
29,Todd Heap,TE,1,ARI,CAR,3,2,67,40,0,20,13,20,0,0,0,0,0,6.00,2011
30,James Casey,TE,1,HOU,IND,3,3,100,29,0,13,10,10,0,0,0,0,0,5.90,2011
31,Leonard Pope,TE,1,KC,BUF,6,3,50,24,0,15,4,8,0,0,0,0,0,5.40,2011
32,Randy McMichael,TE,1,LAC,MIN,3,3,100,20,0,11,7,7,0,0,0,0,0,5.00,2011
33,Marcedes Lewis,TE,1,JAX,TEN,3,2,67,28,0,20,9,14,0,0,0,0,0,4.80,2011
34,Jeff Cumberland,TE,1,NYJ,DAL,2,1,50,33,0,33,17,33,0,0,0,0,0,4.30,2011
35,Kellen Davis,TE,1,CHI,ATL,5,2,40,23,0,12,5,12,0,0,0,0,0,4.30,2011
36,Billy Bajema,TE,1,LAR,PHI,3,2,67,21,0,19,7,11,0,0,0,0,0,4.10,2011
37,Chris Cooley,TE,1,WAS,NYG,3,2,67,21,0,15,7,11,0,0,0,0,0,4.10,2011
38,Zach Miller,TE,1,SEA,SF,4,2,50,19,0,13,5,10,0,0,0,0,0,3.90,2011
39,John Phillips,TE,1,DAL,NYJ,2,2,100,19,0,12,10,10,0,0,0,0,0,3.90,2011
40,Anthony McCoy,TE,1,SEA,SF,2,2,100,12,0,10,6,6,0,0,0,0,0,3.20,2011
41,Joel Dreessen,TE,1,HOU,IND,1,1,100,21,0,21,21,21,0,0,0,0,0,3.10,2011
42,Brandon Myers,TE,1,OAK,DEN,5,2,40,10,0,7,2,5,0,0,0,0,0,3.00,2011
43,Lance Kendricks,TE,1,LAR,PHI,5,1,20,18,0,18,4,18,0,0,0,0,0,2.80,2011
44,Jake O'Connell,TE,1,KC,BUF,1,1,100,15,0,15,15,15,0,0,0,0,0,2.50,2011
45,Brent Celek,TE,1,PHI,LAR,3,1,33,13,0,13,4,13,0,0,0,0,0,2.30,2011
46,Owen Daniels,TE,1,HOU,IND,2,1,50,12,0,12,6,12,0,0,0,0,0,2.20,2011
47,Jared Cook,TE,1,TEN,JAX,2,1,50,7,0,7,4,7,0,0,0,0,0,1.70,2011
48,Tom Crabtree,TE,1,GB,NO,1,1,100,4,0,4,4,4,0,0,0,0,0,1.40,2011
49,Craig Stevens,TE,1,TEN,JAX,3,1,33,2,0,2,1,2,0,0,0,0,0,1.20,2011
50,Delanie Walker,TE,1,SF,SEA,1,1,100,-1,0,-1,-1,-1,0,0,0,0,0,0.90,2011
