Player,Position,Team,Opponent,Points
Drew Brees,QB,NO,DAL,25.36
Sam Bradford,QB,PHI,WAS,24.20
Kirk Cousins,QB,WAS,PHI,21.70
Andy Dalton,QB,CIN,KC,21.44
Alex Smith,QB,KC,CIN,20.94
Carson Palmer,QB,ARI,LAR,19.98
Eli Manning,QB,NYG,BUF,19.28
Blake Bortles,QB,JAX,IND,19.02
Nick Foles,QB,LAR,ARI,18.74
Jay Cutler,QB,CHI,OAK,18.24
Russell Wilson,QB,SEA,DET,17.48
Brian Hoyer,QB,HOU,ATL,17.28
Cam Newton,QB,CAR,TB,17.06
Jameis Winston,QB,TB,CAR,16.68
Aaron Rodgers,QB,GB,SF,16.26
Teddy Bridgewater,QB,MIN,DEN,16.06
Tyrod Taylor,QB,BUF,NYG,15.46
Matt Hasselbeck,QB,IND,JAX,15.38
Ryan Fitzpatrick,QB,NYJ,MIA,15.12
Brandon Weeden,QB,DAL,NO,14.34
Ryan Tannehill,QB,MIA,NYJ,14.32
Matt Ryan,QB,ATL,HOU,14.14
Derek Carr,QB,OAK,CHI,13.84
Michael Vick,QB,PIT,BAL,12.26
Colin Kaepernick,QB,SF,GB,11.10
Peyton Manning,QB,DEN,MIN,10.32
Joe Flacco,QB,BAL,PIT,9.56
Matthew Stafford,QB,DET,SEA,8.12
Ryan Mallett,QB,HOU,ATL,5.00
BJ Daniels,QB,SEA,DET,2.20
Luke McCown,QB,NO,DAL,0.00
Joe Webb,QB,CAR,TB,0.00
Sean Renfree,QB,ATL,HOU,-0.40
Tavon Austin,WR,LAR,ARI,29.60
Jeremy Maclin,WR,KC,CIN,28.80
DeAndre Hopkins,WR,HOU,ATL,27.70
Leonard Hankerson,WR,ATL,HOU,25.30
Brandon Marshall,WR,NYJ,MIA,22.80
Mike Wallace,WR,MIN,DEN,22.30
Cecil Shorts,WR,HOU,ATL,19.70
Kenny Stills,WR,MIA,NYJ,19.10
Kamar Aiken,WR,BAL,PIT,18.70
Pierre Garcon,WR,WAS,PHI,18.50
Eddie Royal,WR,CHI,OAK,18.40
Demaryius Thomas,WR,DEN,MIN,18.30
Keenan Allen,WR,LAC,CLE,17.20
Dwayne Harris,WR,NYG,BUF,16.10
Larry Fitzgerald,WR,ARI,LAR,15.90
Ted Ginn,WR,CAR,TB,15.80
John Brown,WR,ARI,LAR,15.80
Riley Cooper,WR,PHI,WAS,15.20
AJ Green,WR,CIN,KC,15.20
Amari Cooper,WR,OAK,CHI,14.90
Willie Snead,WR,NO,DAL,14.90
James Jones,WR,GB,SF,14.80
Stefon Diggs,WR,MIN,DEN,14.70
Eric Decker,WR,NYJ,MIA,14.60
Marquess Wilson,WR,CHI,OAK,14.00
Terrance Williams,WR,DAL,NO,13.90
Travis Benjamin,WR,CLE,LAC,13.90
TY Hilton,WR,IND,JAX,13.70
Donte Moncrief,WR,IND,JAX,13.50
Jamison Crowder,WR,WAS,PHI,13.50
Miles Austin,WR,PHI,WAS,13.10
Darrius Heyward-Bey,WR,PIT,BAL,13.10
Michael Crabtree,WR,OAK,CHI,13.00
Adam Thielen,WR,MIN,DEN,13.00
Doug Baldwin,WR,SEA,DET,12.60
Brandon Tate,WR,CIN,KC,12.50
Mohamed Sanu,WR,CIN,KC,12.40
Cole Beasley,WR,DAL,NO,12.20
Rueben Randle,WR,NYG,BUF,12.10
Allen Robinson,WR,JAX,IND,12.00
Dontrelle Inman,WR,LAC,CLE,11.80
Calvin Johnson,WR,DET,SEA,11.60
Stedman Bailey,WR,LAR,ARI,11.00
Jarvis Landry,WR,MIA,NYJ,10.90
Michael Floyd,WR,ARI,LAR,10.90
Michael Campanaro,WR,BAL,PIT,10.50
Jermaine Kearse,WR,SEA,DET,10.40
Emmanuel Sanders,WR,DEN,MIN,9.80
Charles Clay,TE,BUF,NYG,23.10
Gary Barnidge,TE,CLE,LAC,19.50
Richard Rodgers,TE,GB,SF,15.50
Ladarius Green,TE,LAC,CLE,15.30
Ed Dickson,TE,CAR,TB,14.10
CJ Fiedorowicz,TE,HOU,ATL,10.80
Tyler Eifert,TE,CIN,KC,9.90
Jason Witten,TE,DAL,NO,9.70
Jake Stoneburner,TE,MIA,NYJ,9.60
Josh Hill,TE,NO,DAL,9.10
Marcedes Lewis,TE,JAX,IND,9.00
Owen Daniels,TE,DEN,MIN,8.90
