Rank,Player,Position,Week,Team,Opponent,FGMade,FGAtt,FGPct,FGLong,XPMade,XPAtt,Points,Year
1,Cairo Santos,K,4,KC,CIN,7,7,100,51,0,0,0.00,2015
2,Chandler Catanzaro,K,4,ARI,LAR,5,5,100,42,1,1,0.00,2015
3,Justin Tucker,K,4,BAL,PIT,3,3,100,52,2,2,0.00,2015
4,Graham Gano,K,4,CAR,TB,3,3,100,27,4,4,0.00,2015
5,Travis Coons,K,4,CLE,LAC,4,4,100,40,1,1,0.00,2015
6,Adam Vinatieri,K,4,IND,JAX,3,3,100,54,1,1,0.00,2015
7,Robbie Gould,K,4,CHI,OAK,3,3,100,54,1,2,0.00,2015
8,Josh Lambo,K,4,LAC,CLE,3,3,100,46,3,3,0.00,2015
9,Dustin Hopkins,K,4,WAS,PHI,3,3,100,38,2,2,0.00,2015
10,Brandon McManus,K,4,DEN,MIN,3,3,100,47,2,2,0.00,2015
11,Steven Hauschka,K,4,SEA,DET,2,2,100,52,1,1,0.00,2015
12,Zach Hocker,K,4,NO,DAL,2,3,67,51,2,2,0.00,2015
13,Nick Folk,K,4,NYJ,MIA,2,3,67,48,3,3,0.00,2015
14,Josh Scobee,K,4,PIT,BAL,2,4,50,45,2,2,0.00,2015
15,Sebastian Janikowski,K,4,OAK,CHI,2,2,100,41,2,2,0.00,2015
16,Blair Walsh,K,4,MIN,DEN,2,3,67,38,2,2,0.00,2015
17,Dan Bailey,K,4,DAL,NO,2,2,100,38,2,2,0.00,2015
18,Jason Myers,K,4,JAX,IND,2,4,50,32,1,1,0.00,2015
19,Matt Bryant,K,4,ATL,HOU,0,0,0,0,6,6,0.00,2015
20,Dan Carpenter,K,4,BUF,NYG,1,2,50,51,1,1,0.00,2015
21,Greg Zuerlein,K,4,LAR,ARI,1,1,100,30,3,3,0.00,2015
22,Kyle Brindza,K,4,TB,CAR,1,3,33,42,2,3,0.00,2015
23,Mason Crosby,K,4,GB,SF,1,2,50,31,2,2,0.00,2015
24,Josh Brown,K,4,NYG,BUF,1,1,100,47,1,2,0.00,2015
25,Mike Nugent,K,4,CIN,KC,0,1,0,0,4,4,0.00,2015
26,Matt Prater,K,4,DET,SEA,1,1,100,41,1,1,0.00,2015
27,Nick Novak,K,4,HOU,ATL,0,1,0,0,3,3,0.00,2015
28,Phil Dawson,K,4,SF,GB,1,1,100,33,0,0,0.00,2015
29,Andrew Franks,K,4,MIA,NYJ,0,0,0,0,2,2,0.00,2015
30,Caleb Sturgis,K,4,PHI,WAS,0,1,0,0,2,3,0.00,2015
31,Jordan Gay,K,4,BUF,NYG,0,0,0,0,0,0,0.00,2015
