Player,Position,Team,Opponent,ESPN_FantasyPoints
Le'Veon Bell,RB,PIT,Cin,22
Ezekiel Elliott,RB,DAL,SF,21.3
LeSean McCoy,RB,BUF,TB,20.8
Tom Brady,QB,NE,Atl,20.4
Kareem Hunt,RB,KC,Oak,19.8
Matt Ryan,QB,ATL,NE,19.1
Todd Gurley,RB,LAR,Ari,18.6
Leonard Fournette,RB,JAX,Ind,18.4
Julio Jones,WR,ATL,NE,18.3
Antonio Brown,WR,PIT,Cin,18.2
Alex Smith,QB,KC,Oak,17.8
Dak Prescott,QB,DAL,SF,17.8
Mark Ingram,RB,NO,GB,17.6
Carson Wentz,QB,PHI,Wsh,17.4
Tyrod Taylor,QB,BUF,TB,17.4
A.J. Green,WR,CIN,Pit,17.1
Russell Wilson,QB,SEA,NYG,17
Drew Brees,QB,NO,GB,16.9
Marcus Mariota,QB,TEN,Cle,16.6
Zach Ertz,TE,PHI,Wsh,16.1
Derek Carr,QB,OAK,KC,15.9
Carson Palmer,QB,ARI,LAR,15.8
Kirk Cousins,QB,WSH,Phi,15.8
Michael Thomas,WR,NO,GB,15.7
Melvin Gordon,RB,LAC,Den,15.6
Rob Gronkowski,TE,NE,Atl,15.4
DeShone Kizer,QB,CLE,Ten,15.4
Jameis Winston,QB,TB,Buf,15.3
Jay Ajayi,RB,MIA,NYJ,15.2
Devonta Freeman,RB,ATL,NE,15.2
Cam Newton,QB,CAR,Chi,15.2
Mike Evans,WR,TB,Buf,15.2
Blake Bortles,QB,JAX,Ind,15.1
Philip Rivers,QB,LAC,Den,15
Jordy Nelson,WR,GB,NO,14.7
Dez Bryant,WR,DAL,SF,14.7
Alvin Kamara,RB,NO,GB,14.6
Ben Roethlisberger,QB,PIT,Cin,14.4
Brett Hundley,QB,GB,NO,14.4
Travis Kelce,TE,KC,Oak,14.4
Trevor Siemian,QB,DEN,LAC,14.2
Doug Baldwin,WR,SEA,NYG,14.2
Jared Goff,QB,LAR,Ari,14.2
Larry Fitzgerald,WR,ARI,LAR,14.1
Christian McCaffrey,RB,CAR,Chi,14.1
Adam Thielen,WR,MIN,Bal,14.1
Eli Manning,QB,NYG,Sea,14.1
Andy Dalton,QB,CIN,Pit,14
Carlos Hyde,RB,SF,Dal,13.8
Jarvis Landry,WR,MIA,NYJ,13.8
Chris Hogan,WR,NE,Atl,13.8
Tyreek Hill,WR,KC,Oak,13.7
Demaryius Thomas,WR,DEN,LAC,13.6
Alshon Jeffery,WR,PHI,Wsh,13.5
Jay Cutler,QB,MIA,NYJ,13.4
Case Keenum,QB,MIN,Bal,13.4
Jordan Howard,RB,CHI,Car,13.3
Jerick McKinnon,RB,MIN,Bal,13.2
Jordan Reed,TE,WSH,Phi,13.2
C.J. Anderson,RB,DEN,LAC,13.2
Josh McCown,QB,NYJ,Mia,13.1
Pierre Garcon,WR,SF,Dal,13
Michael Crabtree,WR,OAK,KC,13
Brandin Cooks,WR,NE,Atl,13
Keenan Allen,WR,LAC,Den,12.8
Rishard Matthews,WR,TEN,Cle,12.7
Sterling Shepard,WR,NYG,Sea,12.4
Jacoby Brissett,QB,IND,Jax,12.4
Mitchell Trubisky,QB,CHI,Car,12.4
Marshawn Lynch,RB,OAK,KC,12.3
C.J. Beathard,QB,SF,Dal,12.2
T.Y. Hilton,WR,IND,Jax,11.9
Frank Gore,RB,IND,Jax,11.9
Tevin Coleman,RB,ATL,NE,11.8
Amari Cooper,WR,OAK,KC,11.7
Ty Montgomery,RB,GB,NO,11.7
Mohamed Sanu,WR,ATL,NE,11.7
Doug Martin,RB,TB,Buf,11.5
DeSean Jackson,WR,TB,Buf,11.5
Jonathan Stewart,RB,CAR,Chi,11.5
Adrian Peterson,RB,ARI,LAR,11.4
Joe Flacco,QB,BAL,Min,11.4
Javorius Allen,RB,BAL,Min,11.4
Chris Thompson,RB,WSH,Phi,11.4
Davante Adams,WR,GB,NO,11.2
Delanie Walker,TE,TEN,Cle,11.2
Duke Johnson Jr.,RB,CLE,Ten,11.2
Evan Engram,TE,NYG,Sea,11.1
Marqise Lee,WR,JAX,Ind,11
Terrelle Pryor Sr.,WR,WSH,Phi,10.9
Joe Mixon,RB,CIN,Pit,10.9
Danny Amendola,WR,NE,Atl,10.8
John Brown,WR,ARI,LAR,10.8
Kelvin Benjamin,WR,CAR,Chi,10.8
Jimmy Graham,TE,SEA,NYG,10.7
Derrick Henry,RB,TEN,Cle,10.7
Isaiah Crowell,RB,CLE,Ten,10.6
Jeremy Maclin,WR,BAL,Min,10.5
Devin Funchess,WR,CAR,Chi,10.5
Latavius Murray,RB,MIN,Bal,10.5
Randall Cobb,WR,GB,NO,10.4
Cooper Kupp,WR,LAR,Ari,10.4
Wendell Smallwood,RB,PHI,Wsh,10.3
Bilal Powell,RB,NYJ,Mia,10.2
Allen Hurns,WR,JAX,Ind,10.1
Austin Seferian-Jenkins,TE,NYJ,Mia,10
Andre Ellington,RB,ARI,LAR,10
Martavis Bryant,WR,PIT,Cin,10
Stephen Gostkowski,K,NE,Atl,9.9
Kyle Rudolph,TE,MIN,Bal,9.8
Taylor Gabriel,WR,ATL,NE,9.8
Willie Snead,WR,NO,GB,9.7
