Player,Position,Team,Opponent,FantasyFootball_FantasyPoints
Tom Brady,QB,NE,ATL,27.5
Kirk Cousins,QB,WAS,@PHI,24.0
Cam Newton,QB,CAR,@CHI,23.8
Dak Prescott,QB,DAL,@SF,23.5
Alex Smith,QB,KC,@OAK,23.3
Carson Wentz,QB,PHI,WAS,23.3
Drew Brees,QB,NO,@GB,23.0
Russell Wilson,QB,SEA,@NYG,22.8
Jameis Winston,QB,TB,@BUF,22.8
Josh McCown,QB,NYJ,@MIA,22.5
Carson Palmer,QB,ARI,@LAR,22.3
Matt Ryan,QB,ATL,@NE,21.8
Marcus Mariota,QB,TEN,@CLE,21.3
Ben Roethlisberger,QB,PIT,CIN,21.0
Tyrod Taylor,QB,BUF,TB,18.8
C.J. Beathard,QB,SF,DAL,18.0
Brett Hundley,QB,GB,NO,18.0
DeShone Kizer,QB,CLE,TEN,18.0
Andy Dalton,QB,CIN,@PIT,17.8
Trevor Siemian,QB,DEN,@LAC,17.8
Blake Bortles,QB,JAC,@IND,17.5
Jacoby Brissett,QB,IND,JAC,17.5
Philip Rivers,QB,LAC,DEN,17.5
Case Keenum,QB,MIN,BAL,17.3
Jared Goff,QB,LAR,ARI,16.5
Derek Carr,QB,OAK,KC,16.3
Jay Cutler,QB,MIA,NYJ,15.5
Mitchell Trubisky,QB,CHI,CAR,15.5
Eli Manning,QB,NYG,SEA,14.8
Joe Flacco,QB,BAL,@MIN,14.3
Antonio Brown,WR,PIT,CIN,16.5
A.J. Green,WR,CIN,@PIT,15.0
Julio Jones,WR,ATL,@NE,15.0
Michael Thomas,WR,NO,@GB,15.0
Michael Crabtree,WR,OAK,KC,14.5
Mike Evans,WR,TB,@BUF,14.5
Doug Baldwin,WR,SEA,@NYG,14.0
Pierre Garcon,WR,SF,DAL,14.0
Alshon Jeffery,WR,PHI,WAS,14.0
Jarvis Landry,WR,MIA,NYJ,14.0
Demaryius Thomas,WR,DEN,@LAC,14.0
Dez Bryant,WR,DAL,@SF,13.5
Tyreek Hill,WR,KC,@OAK,13.5
Robby Anderson,WR,NYJ,@MIA,13.0
Kelvin Benjamin,WR,CAR,@CHI,13.0
Randall Cobb,WR,GB,NO,13.0
Brandin Cooks,WR,NE,ATL,13.0
Larry Fitzgerald,WR,ARI,@LAR,13.0
Marqise Lee,WR,JAC,@IND,12.5
Rishard Matthews,WR,TEN,@CLE,12.5
John Brown,WR,ARI,@LAR,12.0
Devin Funchess,WR,CAR,@CHI,12.0
Robert Woods,WR,LAR,ARI,11.5
JuJu Smith-Schuster,WR,PIT,CIN,10.5
Adam Thielen,WR,MIN,BAL,7.5
Jordy Nelson,WR,GB,NO,7.0
T.Y. Hilton,WR,IND,JAC,6.5
Cooper Kupp,WR,LAR,ARI,6.5
Danny Amendola,WR,NE,ATL,6.0
Kenny Stills,WR,MIA,NYJ,6.0
Amari Cooper,WR,OAK,KC,5.5
Bennie Fowler,WR,DEN,@LAC,5.5
Jermaine Kearse,WR,NYJ,@MIA,5.5
Tyrell Williams,WR,LAC,DEN,5.5
Keenan Allen,WR,LAC,DEN,5.0
Eric Decker,WR,TEN,@CLE,5.0
Chris Hogan,WR,NE,ATL,5.0
DeSean Jackson,WR,TB,@BUF,5.0
Tyler Lockett,WR,SEA,@NYG,5.0
Jeremy Maclin,WR,BAL,@MIN,5.0
Terrelle Pryor,WR,WAS,@PHI,5.0
Ted Ginn Jr.,WR,NO,@GB,4.5
Allen Hurns,WR,JAC,@IND,4.5
Donte Moncrief,WR,IND,JAC,4.5
Mohamed Sanu,WR,ATL,@NE,4.5
Sterling Shepard,WR,NYG,SEA,4.5
Davante Adams,WR,GB,NO,4.0
Cole Beasley,WR,DAL,@SF,4.0
Jaron Brown,WR,ARI,@LAR,4.0
Josh Doctson,WR,WAS,@PHI,4.0
Travis Kelce,TE,KC,@OAK,13.5
Zach Ertz,TE,PHI,WAS,13.0
Rob Gronkowski,TE,NE,ATL,13.0
Evan Engram,TE,NYG,SEA,12.5
Hunter Henry,TE,LAC,DEN,12.5
Jason Witten,TE,DAL,@SF,11.5
Cameron Brate,TE,TB,@BUF,11.0
Kyle Rudolph,TE,MIN,BAL,11.0
Austin Seferian-Jenkins,TE,NYJ,@MIA,11.0
Jack Doyle,TE,IND,JAC,10.5
Jimmy Graham,TE,SEA,@NYG,10.0
George Kittle,TE,SF,DAL,5.0
Tyler Kroft,TE,CIN,@PIT,4.5
Zach Miller,TE,CHI,CAR,4.5
Nick O'Leary,TE,BUF,TB,4.5
Ben Watson,TE,BAL,@MIN,4.5
Vernon Davis,TE,WAS,@PHI,4.0
Ed Dickson,TE,CAR,@CHI,4.0
Jordan Reed,TE,WAS,@PHI,4.0
Delanie Walker,TE,TEN,@CLE,4.0
Martellus Bennett,TE,GB,NO,3.5
Austin Hooper,TE,ATL,@NE,3.5
Jesse James,TE,PIT,CIN,3.5
Jared Cook,TE,OAK,KC,3.0
A.J. Derby,TE,DEN,@LAC,3.0
Coby Fleener,TE,NO,@GB,3.0
David Njoku,TE,CLE,TEN,3.0
Seth Devalve,TE,CLE,TEN,2.5
Julius Thomas,TE,MIA,NYJ,2.5
Gerald Everett,TE,LAR,ARI,2.0
Antonio Gates,TE,LAC,DEN,2.0
Jermaine Gresham,TE,ARI,@LAR,2.0
Marcedes Lewis,TE,JAC,@IND,2.0
Nick Boyle,TE,BAL,@MIN,1.5
Tyler Higbee,TE,LAR,ARI,1.5
Trey Burton,TE,PHI,WAS,1.0
Brent Celek,TE,PHI,WAS,1.0
Rhett Ellison,TE,NYG,SEA,1.0
Virgil Green,TE,DEN,@LAC,1.0
O.J. Howard,TE,TB,@BUF,1.0
LeSean McCoy,RB,BUF,TB,19.5
Ezekiel Elliott,RB,DAL,@SF,18.5
Melvin Gordon,RB,LAC,DEN,18.5
Kareem Hunt,RB,KC,@OAK,18.5
Le'Veon Bell,RB,PIT,CIN,18.0
Todd Gurley,RB,LAR,ARI,18.0
Jordan Howard,RB,CHI,CAR,16.5
Chris Ivory,RB,JAC,@IND,16.5
Mark Ingram,RB,NO,@GB,16.0
Jay Ajayi,RB,MIA,NYJ,15.5
Devonta Freeman,RB,ATL,@NE,15.5
Jerick McKinnon,RB,MIN,BAL,15.5
C.J. Anderson,RB,DEN,@LAC,15.0
Derrick Henry,RB,TEN,@CLE,14.5
Carlos Hyde,RB,SF,DAL,14.5
Javorius Allen,RB,BAL,@MIN,14.0
Frank Gore,RB,IND,JAC,14.0
Alvin Kamara,RB,NO,@GB,14.0
LeGarrette Blount,RB,PHI,WAS,13.0
Marshawn Lynch,RB,OAK,KC,13.0
Isaiah Crowell,RB,CLE,TEN,12.0
Chris Thompson,RB,WAS,@PHI,12.0
Aaron Jones,RB,GB,NO,11.5
James White,RB,NE,ATL,11.0
Joe Mixon,RB,CIN,@PIT,8.0
Doug Martin,RB,TB,@BUF,7.0
Adrian Peterson,RB,ARI,@LAR,7.0
Tarik Cohen,RB,CHI,CAR,6.5
Tevin Coleman,RB,ATL,@NE,6.5
Orleans Darkwa,RB,NYG,SEA,6.5
Matt Forte,RB,NYJ,@MIA,6.5
Christian McCaffrey,RB,CAR,@CHI,6.5
DeMarco Murray,RB,TEN,@CLE,6.0
Duke Johnson,RB,CLE,TEN,5.5
Marlon Mack,RB,IND,JAC,5.5
Jonathan Stewart,RB,CAR,@CHI,5.5
Giovani Bernard,RB,CIN,@PIT,5.0
Dion Lewis,RB,NE,ATL,5.0
Mike Tolbert,RB,BUF,TB,5.0
Matt Breida,RB,SF,DAL,4.5
Jamaal Charles,RB,DEN,@LAC,4.5
Alex Collins,RB,BAL,@MIN,4.5
Wayne Gallman,RB,NYG,SEA,4.5
Rob Kelley,RB,WAS,@PHI,4.5
Eddie Lacy,RB,SEA,@NYG,4.5
Ty Montgomery,RB,GB,NO,4.5
Latavius Murray,RB,MIN,BAL,4.5
Thomas Rawls,RB,SEA,@NYG,4.5
Mike Gillislee,RB,NE,ATL,4.0
T.J. Yeldon,RB,JAC,@IND,4.0
Graham Gano,K,CAR,@CHI,11.0
Wil Lutz,K,NO,@GB,11.0
Justin Tucker,K,BAL,@MIN,11.0
Harrison Butker,K,KC,@OAK,9.0
Jake Elliott,K,PHI,WAS,9.0
Stephen Gostkowski,K,NE,ATL,9.0
Cody Parkey,K,MIA,NYJ,9.0
Ryan Succop,K,TEN,@CLE,9.0
Blair Walsh,K,SEA,@NYG,9.0
Connor Barth,K,CHI,CAR,8.0
Matt Bryant,K,ATL,@NE,8.0
Randy Bullock,K,CIN,@PIT,8.0
Mason Crosby,K,GB,NO,8.0
Phil Dawson,K,ARI,@LAR,8.0
Robbie Gould,K,SF,DAL,8.0
Brandon McManus,K,DEN,@LAC,8.0
Patrick Murray,K,TB,@BUF,8.0
Nick Rose,K,WAS,@PHI,8.0
Giorgio Tavecchio,K,OAK,KC,8.0
Dan Bailey,K,DAL,@SF,7.0
Chris Boswell,K,PIT,CIN,6.0
Chandler Catanzaro,K,NYJ,@MIA,6.0
Kai Forbath,K,MIN,BAL,6.0
Steve Hauschka,K,BUF,TB,6.0
Josh Lambo,K,JAC,@IND,6.0
Nick Novak,K,LAC,DEN,6.0
Adam Vinatieri,K,IND,JAC,6.0
Greg Zuerlein,K,LAR,ARI,6.0
Aldrick Rosas,K,NYG,SEA,5.0
Zane Gonzalez,K,CLE,TEN,3.0
