,Player,Position,Team,Opponent,FantasyFootball_FantasyPoints,PlayerID
0,Tom Brady,QB,NE,ATL,27.5,00-0019596
1,Kirk Cousins,QB,WAS,@PHI,24.0,00-0029604
2,Cam Newton,QB,CAR,@CHI,23.8,00-0027939
3,Dak Prescott,QB,DAL,@SF,23.5,00-0033077
4,Alex Smith,QB,KC,@OAK,23.3,00-0023436
5,Carson Wentz,QB,PHI,WAS,23.3,00-0032950
6,Drew Brees,QB,NO,@GB,23.0,00-0020531
7,Russell Wilson,QB,SEA,@NYG,22.8,00-0029263
8,Jameis Winston,QB,TB,@BUF,22.8,00-0031503
9,Josh McCown,QB,NYJ,@MIA,22.5,00-0021206
10,Carson Palmer,QB,ARI,@LAR,22.3,00-0021429
11,Matt Ryan,QB,ATL,@NE,21.8,00-0026143
12,Marcus Mariota,QB,TEN,@CLE,21.3,00-0032268
13,Ben Roethlisberger,QB,PIT,CIN,21.0,00-0022924
14,Tyrod Taylor,QB,BUF,TB,18.8,00-0028118
15,C.J. Beathard,QB,SF,DAL,18.0,00-0033936
16,Brett Hundley,QB,GB,NO,18.0,00-0031589
17,DeShone Kizer,QB,CLE,TEN,18.0,00-0033899
18,Andy Dalton,QB,CIN,@PIT,17.8,00-0027973
19,Trevor Siemian,QB,DEN,@LAC,17.8,00-0032156
20,Blake Bortles,QB,JAX,@IND,17.5,00-0031407
21,Jacoby Brissett,QB,IND,JAC,17.5,00-0033119
22,Philip Rivers,QB,LAC,DEN,17.5,00-0022942
23,Case Keenum,QB,MIN,BAL,17.3,00-0028986
24,Jared Goff,QB,LA,ARI,16.5,00-0033106
25,Derek Carr,QB,OAK,KC,16.3,00-0031280
26,Jay Cutler,QB,MIA,NYJ,15.5,00-0024226
27,Mitchell Trubisky,QB,CHI,CAR,15.5,00-0033869
28,Eli Manning,QB,NYG,SEA,14.8,00-0022803
29,Joe Flacco,QB,BAL,@MIN,14.3,00-0026158
30,Antonio Brown,WR,PIT,CIN,16.5,00-0027793
31,A.J. Green,WR,CIN,@PIT,15.0,00-0027942
32,Julio Jones,WR,ATL,@NE,15.0,00-0027944
33,Michael Thomas,WR,NO,@GB,15.0,00-0032765
34,Michael Crabtree,WR,OAK,KC,14.5,00-0026986
35,Mike Evans,WR,TB,@BUF,14.5,00-0031408
36,Doug Baldwin,WR,SEA,@NYG,14.0,00-0028434
37,Pierre Garcon,WR,SF,DAL,14.0,00-0026345
38,Alshon Jeffery,WR,PHI,WAS,14.0,00-0029137
39,Jarvis Landry,WR,MIA,NYJ,14.0,00-0031382
40,Demaryius Thomas,WR,DEN,@LAC,14.0,00-0027874
41,Dez Bryant,WR,DAL,@SF,13.5,00-0027902
42,Tyreek Hill,WR,KC,@OAK,13.5,00-0033040
43,Robby Anderson,WR,NYJ,@MIA,13.0,00-0032688
44,Kelvin Benjamin,WR,CAR,@CHI,13.0,00-0031359
45,Randall Cobb,WR,GB,NO,13.0,00-0028002
46,Brandin Cooks,WR,NE,ATL,13.0,00-0031236
47,Larry Fitzgerald,WR,ARI,@LAR,13.0,00-0022921
48,Marqise Lee,WR,JAX,@IND,12.5,00-0031431
49,Rishard Matthews,WR,TEN,@CLE,12.5,00-0029580
50,John Brown,WR,ARI,@LAR,12.0,00-0031051
51,Devin Funchess,WR,CAR,@CHI,12.0,00-0032055
52,Robert Woods,WR,LA,ARI,11.5,00-0030431
53,JuJu Smith-Schuster,WR,PIT,CIN,10.5,00-0033857
54,Adam Thielen,WR,MIN,BAL,7.5,00-0030035
55,Jordy Nelson,WR,GB,NO,7.0,00-0026176
56,T.Y. Hilton,WR,IND,JAC,6.5,00-0029608
57,Cooper Kupp,WR,LA,ARI,6.5,00-0033908
58,Danny Amendola,WR,NE,ATL,6.0,00-0026035
59,Kenny Stills,WR,MIA,NYJ,6.0,00-0030085
60,Amari Cooper,WR,OAK,KC,5.5,00-0031544
61,Bennie Fowler,WR,DEN,@LAC,5.5,00-0030670
62,Jermaine Kearse,WR,NYJ,@MIA,5.5,00-0029159
63,Tyrell Williams,WR,LAC,DEN,5.5,00-0032160
64,Keenan Allen,WR,LAC,DEN,5.0,00-0030279
