,Player,Position,Team,Opponent,FantasyData_FantasyPoints,PlayerID
207,Nick Rose,K,WAS,PHI,7.1,
208,Justin Tucker,K,BAL,MIN,7.0,00-0029597
209,Blair Walsh,K,SEA,NYG,7.0,00-0029576
210,Adam Vinatieri,K,IND,JAX,6.9,00-0016919
211,Patrick Murray,K,TB,BUF,6.7,00-0030626
212,Robbie Gould,K,SF,DAL,6.4,00-0023252
213,Randy Bullock,K,CIN,PIT,6.0,00-0029421
214,Giorgio Tavecchio,K,OAK,KC,5.9,00-0028907
215,Chandler Catanzaro,K,NYJ,MIA,5.8,00-0030896
216,Aldrick Rosas,K,NYG,SEA,5.5,00-0032870
217,Connor Barth,K,CHI,CAR,5.3,00-0026138
218,Cody Parkey,K,MIA,NYJ,5.3,00-0030850
219,Zane Gonzalez,K,CLE,TEN,4.8,00-0033862
220,Sebastian Janikowski,K,OAK,KC,0.0,00-0019646
221,Nick Folk,K,TB,BUF,0.0,00-0025565
222,Dustin Hopkins,K,WAS,PHI,0.0,00-0030098
223,Caleb Sturgis,K,PHI,WAS,0.0,00-0030390
