,Player,Position,Team,Opponent,ESPN_FantasyPoints,PlayerID
0,Le'Veon Bell,RB,PIT,Cin,22,00-0030496
1,Ezekiel Elliott,RB,DAL,SF,21.3,00-0033045
2,LeSean McCoy,RB,BUF,TB,20.8,00-0027029
3,Tom Brady,QB,NE,Atl,20.4,00-0019596
4,Kareem Hunt,RB,KC,Oak,19.8,00-0033923
5,Matt Ryan,QB,ATL,NE,19.1,00-0026143
6,Todd Gurley,RB,LA,Ari,18.6,00-0032241
7,Leonard Fournette,RB,JAX,Ind,18.4,00-0033856
8,Julio Jones,WR,ATL,NE,18.3,00-0027944
9,Antonio Brown,WR,PIT,Cin,18.2,00-0027793
10,Alex Smith,QB,KC,Oak,17.8,00-0023436
11,Dak Prescott,QB,DAL,SF,17.8,00-0033077
12,Mark Ingram,RB,NO,GB,17.6,00-0027966
13,Carson Wentz,QB,PHI,Wsh,17.4,00-0032950
14,Tyrod Taylor,QB,BUF,TB,17.4,00-0028118
15,A.J. Green,WR,CIN,Pit,17.1,00-0027942
16,Russell Wilson,QB,SEA,NYG,17,00-0029263
17,Drew Brees,QB,NO,GB,16.9,00-0020531
18,Marcus Mariota,QB,TEN,Cle,16.6,00-0032268
19,Zach Ertz,TE,PHI,Wsh,16.1,00-0030061
20,Derek Carr,QB,OAK,KC,15.9,00-0031280
21,Carson Palmer,QB,ARI,LAR,15.8,00-0021429
22,Kirk Cousins,QB,WSH,Phi,15.8,00-0029604
23,Michael Thomas,WR,NO,GB,15.7,00-0032765
24,Melvin Gordon,RB,LAC,Den,15.6,00-0032144
25,Rob Gronkowski,TE,NE,Atl,15.4,00-0027656
26,DeShone Kizer,QB,CLE,Ten,15.4,00-0033899
27,Jameis Winston,QB,TB,Buf,15.3,00-0031503
28,Jay Ajayi,RB,MIA,NYJ,15.2,00-0031590
29,Devonta Freeman,RB,ATL,NE,15.2,00-0031285
30,Cam Newton,QB,CAR,Chi,15.2,00-0027939
31,Mike Evans,WR,TB,Buf,15.2,00-0031408
32,Blake Bortles,QB,JAX,Ind,15.1,00-0031407
33,Philip Rivers,QB,LAC,Den,15,00-0022942
34,Jordy Nelson,WR,GB,NO,14.7,00-0026176
35,Dez Bryant,WR,DAL,SF,14.7,00-0027902
36,Alvin Kamara,RB,NO,GB,14.6,00-0033906
37,Ben Roethlisberger,QB,PIT,Cin,14.4,00-0022924
38,Brett Hundley,QB,GB,NO,14.4,00-0031589
39,Travis Kelce,TE,KC,Oak,14.4,00-0030506
40,Trevor Siemian,QB,DEN,LAC,14.2,00-0032156
41,Doug Baldwin,WR,SEA,NYG,14.2,00-0028434
42,Jared Goff,QB,LA,Ari,14.2,00-0033106
43,Larry Fitzgerald,WR,ARI,LAR,14.1,00-0022921
44,Christian McCaffrey,RB,CAR,Chi,14.1,00-0033280
45,Adam Thielen,WR,MIN,Bal,14.1,00-0030035
46,Eli Manning,QB,NYG,Sea,14.1,00-0022803
47,Andy Dalton,QB,CIN,Pit,14,00-0027973
48,Carlos Hyde,RB,SF,Dal,13.8,00-0031045
49,Jarvis Landry,WR,MIA,NYJ,13.8,00-0031382
50,Chris Hogan,WR,NE,Atl,13.8,00-0028237
51,Tyreek Hill,WR,KC,Oak,13.7,00-0033040
52,Demaryius Thomas,WR,DEN,LAC,13.6,00-0027874
53,Alshon Jeffery,WR,PHI,Wsh,13.5,00-0029137
54,Jay Cutler,QB,MIA,NYJ,13.4,00-0024226
55,Case Keenum,QB,MIN,Bal,13.4,00-0028986
56,Jordan Howard,RB,CHI,Car,13.3,00-0032780
57,Jerick McKinnon,RB,MIN,Bal,13.2,00-0031376
58,Jordan Reed,TE,WSH,Phi,13.2,00-0030472
59,C.J. Anderson,RB,DEN,LAC,13.2,00-0029854
60,Josh McCown,QB,NYJ,Mia,13.1,00-0021206
61,Pierre Garcon,WR,SF,Dal,13,00-0026345
62,Michael Crabtree,WR,OAK,KC,13,00-0026986
63,Brandin Cooks,WR,NE,Atl,13,00-0031236
64,Keenan Allen,WR,LAC,Den,12.8,00-0030279
65,Rishard Matthews,WR,TEN,Cle,12.7,00-0029580
66,Sterling Shepard,WR,NYG,Sea,12.4,00-0032385
67,Jacoby Brissett,QB,IND,Jax,12.4,00-0033119
68,Mitchell Trubisky,QB,CHI,Car,12.4,00-0033869
69,Marshawn Lynch,RB,OAK,KC,12.3,00-0025399
70,C.J. Beathard,QB,SF,Dal,12.2,00-0033936
71,T.Y. Hilton,WR,IND,Jax,11.9,00-0029608
72,Frank Gore,RB,IND,Jax,11.9,00-0023500
73,Tevin Coleman,RB,ATL,NE,11.8,00-0032058
74,Amari Cooper,WR,OAK,KC,11.7,00-0031544
75,Ty Montgomery,RB,GB,NO,11.7,00-0032200
76,Mohamed Sanu,WR,ATL,NE,11.7,00-0029632
77,Doug Martin,RB,TB,Buf,11.5,00-0029613
78,DeSean Jackson,WR,TB,Buf,11.5,00-0026189
79,Jonathan Stewart,RB,CAR,Chi,11.5,00-0026153
80,Adrian Peterson,RB,ARI,LAR,11.4,00-0025394
81,Joe Flacco,QB,BAL,Min,11.4,00-0026158
82,Javorius Allen,RB,BAL,Min,11.4,00-0031577
83,Chris Thompson,RB,WSH,Phi,11.4,00-0030404
84,Davante Adams,WR,GB,NO,11.2,00-0031381
85,Delanie Walker,TE,TEN,Cle,11.2,00-0024389
86,Duke Johnson Jr.,RB,CLE,Ten,11.2,00-0032257
87,Evan Engram,TE,NYG,Sea,11.1,00-0033881
88,Marqise Lee,WR,JAX,Ind,11,00-0031431
89,Terrelle Pryor Sr.,WR,WSH,Phi,10.9,00-0028825
90,Joe Mixon,RB,CIN,Pit,10.9,00-0033897
